Year,JAN-mm,FEB-mm,MAR-mm,APR-mm,MAY-mm,JUN-mm,JUL-mm,AUG-mm,SEP-mm,OCT-mm,NOV-mm,DEC-mm,ANNUAL-mm
2017,53.3,74.9,106.3,28.6,63.2,104.2,127.8,124.6,145.2,107.3,102.6,107.3,1145.3
2016,175.7,110.8,72.2,78.4,58.5,89,98,68,96.8,45.3,82.3,78.3,1053.1
2015,142,83.1,100.9,60.9,124,45.6,119.9,120.3,46.4,69.4,190.5,220.2,1323.2
2014,173.2,171.2,85.9,43.8,90.9,56.6,72.5,135.8,9.7,134,177.7,145.3,1296.6
2013,141.4,74,89.9,77.3,104.8,84.2,73.7,56.1,69,157.5,66.1,144.7,1138.7
2012,115.6,67.3,25.5,69.6,62.6,179,105.1,112.9,110.6,120.5,83.2,134.7,1186.5
2011,66.7,136.7,54.4,35.6,107.3,104.1,70.1,72.6,125.5,210.7,130.3,158.5,1272.6
2010,87.9,61.9,107.4,57.1,43.4,45.7,137.5,62.9,162.2,65.4,146.7,69.1,1047.1
2009,134.5,38.2,65,110.1,100.7,58.9,133.8,165.4,40.8,115.5,220,77.2,1260.1
2008,186.3,60.7,132.1,47.2,18.7,75.9,121.6,201.4,118.8,147,81.4,79.7,1270.7
2007,129.7,86.6,81.4,28.8,71.5,148,131.2,104.7,58.1,56.8,87.6,112.3,1096.8
2006,51.5,46.8,142.1,73.1,113.8,36.5,68,91.7,136.5,125.4,130.7,139.4,1155.4
2005,136.1,60.1,76.5,91.8,102.9,55.6,45.7,91,89.4,129.6,83,111.9,1073.5
2004,133.5,51.1,87.1,78.8,48.9,109.1,63.1,114,106.1,133.2,60.9,107.7,1093.4
2003,108.2,68.5,48.5,52.6,127.8,86,93.5,23,65.9,52.7,115.9,96,938.6
2002,126.9,165.4,73.8,102.2,135.2,119.8,105,57.3,42.5,200.8,192.4,89.6,1411
2001,65.5,68,68.2,74.7,50.9,65.9,62.9,109.8,58.1,112.9,79,83.1,899
2000,63.8,111.4,57.2,102.2,65.1,60.4,40.8,104.9,131,178.2,155.2,153.2,1223.4
1999,144.5,88.7,63.1,96.4,63.8,67.5,53.8,95.4,178.2,57.6,111.2,218.4,1238.6
